e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
-1.7580993,-1.4401758,3.0382652,2.651643,4.4489913,3.2015553,-1.7580993,1.7102783,6.89116,7.9781475,2.5809968,0.312383,2.5167923,-1.6958648,1.9711148
-1.7580819,5.5014358,5.7262635,-0.603069,14.988895,4.07797,-1.7580993,6.839797,3.4373786,0.35753983,-1.0420516,4.2256575,4.1874433,-1.7580992,2.070824
-1.7580993,3.1202562,8.172773,4.67003,10.122979,4.21206,-1.7580832,2.9082155,7.549261,5.2167087,3.9067192,0.9029796,1.8330584,-1.7580286,1.9728117
-1.7580922,1.1498722,9.909891,0.8802189,3.5302343,0.51883936,-1.7580981,4.002371,-0.4696739,6.175989,-0.06582722,3.0179524,0.32125285,-1.7580687,9.393886
-1.7580993,3.5670598,9.06066,3.5533555,12.378115,5.2872,-1.7528962,5.1736507,1.6047626,11.68847,1.9650165,2.3893054,0.4919143,-1.7580993,0.59433687
-1.7580919,6.961274,-0.55157167,7.420246,2.640439,1.650633,-1.7580993,4.967178,1.2809329,12.306991,6.196438,5.739068,7.970921,-1.7577277,4.6804986
-1.7580993,6.983682,4.2203593,1.3952997,13.43096,5.7830153,-1.7580993,1.8567367,-0.11304201,2.694232,7.6132436,3.1675923,8.789018,-1.7580701,6.137158
-1.7580993,3.8870006,3.8261795,1.3722576,2.792402,1.8798556,-1.7580993,1.0664974,8.059756,8.225705,7.475344,4.367243,3.4685755,-1.7516928,1.6369842
-1.7580993,0.9381211,3.9111612,13.96144,12.92379,3.6949685,-1.7580993,4.3128343,-0.06841168,6.319924,-1.0973481,5.0423365,3.8428085,-1.7580966,1.2990806
-1.7554277,6.4330606,3.3091218,0.7729563,9.562012,2.1463892,-1.7580988,4.0485706,2.2985833,9.722635,6.5500164,1.3698993,8.292478,-1.7580904,6.9773173
-1.7580993,-1.2692442,3.6779392,-1.40627,6.990619,3.8179083,-1.7580993,1.6674913,2.349374,10.184029,3.507613,-0.4093421,5.3344455,-1.7536916,5.254027
-1.7579458,1.6366246,4.054855,3.8891485,3.1540425,2.6916366,-1.758099,5.621546,6.057502,7.1795664,3.1806736,2.325337,3.5913792,-1.7167627,0.57246125
-1.7580954,5.0420747,3.647311,5.3267293,17.310818,3.5985045,-1.7580993,3.6577322,5.86551,7.829061,7.238192,9.706532,7.494727,-1.7580988,7.198977
-1.7580993,5.637673,6.649953,1.0292684,13.66001,4.036901,-1.7580993,0.8296532,0.6917373,1.1378698,8.09985,5.1344304,6.6113734,-1.7580984,9.085731
-1.7580904,4.6194096,3.9202428,8.6463175,9.01798,4.6846037,-1.7580992,1.9741004,1.2260475,3.5156484,2.9655802,2.3277125,4.4064384,-1.7580264,4.5440097
-1.7580993,0.4789461,1.7508905,3.8449955,12.848178,0.51538086,-1.7580993,1.7488942,1.8166007,2.901377,10.157902,0.7058844,4.281627,-1.7413505,1.9418957
-1.7580968,2.6321108,7.1634374,0.46781185,11.307081,4.127714,-1.7580993,2.820396,1.9694163,9.758594,11.543917,0.66358256,6.9781313,-1.7580945,5.604407
-1.7580993,4.187481,7.4390726,3.1250722,17.696842,5.575561,-1.7580993,0.54807717,1.0356442,5.457874,8.535175,4.095016,9.079813,-1.7580963,5.855047
-1.7580993,1.057205,8.259742,7.7527866,10.502985,3.675735,-1.7580993,0.997756,-0.71787614,3.9999068,15.128503,5.6720095,6.158781,-1.7580398,0.20236371
-1.7580993,1.4342215,5.364733,2.4153593,8.23734,0.09189952,-1.7580993,-1.1071252,-0.615688,6.068335,1.2234885,1.6284202,2.5754442,-1.7578377,-0.97886866
-1.7580993,2.1977353,2.0000577,11.668283,5.037025,0.47417638,-1.7580993,11.939106,-0.53270215,17.739151,9.223505,4.675395,9.621559,-1.7580956,4.276509
-1.7580993,0.7607416,5.5864067,2.6175826,1.0193307,3.754491,-1.7580988,4.8988028,3.1081777,4.027787,7.740864,2.4876783,5.7766,-1.6675196,6.47726
-1.7580993,6.080344,3.143885,0.043599054,1.765007,0.030207876,-1.7580993,-1.3513936,6.512288,-1.4200071,7.224976,0.77535474,2.790317,-1.7376541,3.7075493
-1.7580993,3.114191,6.999656,1.7369452,17.860554,4.927072,-1.7580993,0.93905157,1.1991974,5.2385697,7.982793,6.6246104,8.828997,-1.7580966,6.5388203
-1.7580993,3.2348604,8.819684,2.421457,20.516388,4.910951,-1.7580993,1.0354778,0.38325113,6.7159886,8.638714,2.0522819,11.074625,-1.7580986,8.010956
-1.7580993,6.176004,7.0589156,3.7015831,16.362812,1.4129775,-1.7580993,1.6829334,1.6959028,9.024761,10.019269,4.751272,11.1887665,-1.7580582,3.3946388
-1.7580993,4.513702,6.393856,1.1184841,18.244259,4.2214003,-1.7580993,-0.17671034,1.4639634,5.476696,6.9609966,6.013186,9.390017,-1.7580966,6.7801104
-1.7580993,2.6752264,7.3246374,1.3229877,17.73188,5.26563,-1.7580993,-0.93358684,1.4822812,6.2306323,10.570152,6.182712,9.104498,-1.7580985,7.5052023
-1.7580993,6.911657,6.066101,2.5617917,7.2198677,3.7744334,-1.7580993,-1.0473589,1.2426817,1.531724,3.9399776,2.0586846,9.164548,-1.7579219,8.909654
-1.7580993,4.74004,-1.571222,7.6285734,3.4479306,0.3514989,-1.7580993,1.7556565,0.495493,11.93728,4.475236,5.041974,5.244272,-1.7572262,3.0928557
-1.7569993,3.7842011,4.1681943,4.405619,6.573283,3.3587074,-1.755098,4.416194,1.2666456,4.316769,2.4630296,3.065892,0.8393566,-1.7575965,-1.10942
-1.7579048,3.1289573,3.4335773,-1.3048311,9.50984,0.2198899,-1.7580993,5.527349,-0.621567,6.2000194,8.582311,1.8404589,7.651666,-1.7580459,3.3528092
-1.3312594,2.7346256,5.700488,-0.23298901,0.7727851,-0.076293215,-1.7574587,4.1147394,1.0133697,3.1761475,1.930377,2.5316534,2.2975004,-1.5886033,5.638278
-1.7580993,4.462768,5.2734184,0.9277662,15.84259,6.7300067,-1.7580993,0.77553236,-0.052263092,5.3437448,6.7534046,2.1681511,8.478515,-1.7580928,6.710973
-1.7580993,1.5350482,9.60505,6.7865887,9.199675,6.4300838,-1.7580993,1.901369,-0.34655896,0.9122818,7.4093986,3.9006379,7.731655,-1.757841,3.78373
-1.7580993,3.2381134,7.3051753,1.5370902,18.094648,5.1456947,-1.7580993,0.97456396,0.77031785,5.242065,8.090202,6.9954233,8.728375,-1.7580973,6.5650644
-1.7580993,4.5593843,12.58119,6.3001833,9.734253,3.876301,-1.7580993,9.295732,-0.6896503,10.566418,17.055267,8.514194,7.0309954,-1.758098,4.768324
-1.7389904,7.5793343,6.620861,9.064941,9.943467,1.9906353,-1.7580988,2.2452893,2.1951602,2.889402,4.655539,2.3698926,5.8569946,-1.7580923,6.0291276
-1.7580525,4.5006766,3.2543998,5.9174724,10.585583,4.077926,-1.7570194,4.4558287,-0.8894988,6.890328,2.2019799,4.086233,2.0260522,-1.7580755,3.6130917
