,cas_number,vapor pressure,temperature,substantivity,percentage
3308,122795-41-9,0.585,25.0,2.0,100.0
3309,67801-33-6,0.001,25.0,20.0,100.0
3310,66062-78-0,0.009,25.0,36.0,100.0
3311,18871-14-2,0.004,25.0,356.0,100.0
3313,6413-26-9,0.323,25.0,6.0,100.0
3314,68228-06-8,0.043,25.0,12.0,100.0
3315,41724-19-0,0.007,25.0,48.0,100.0
3320,36653-82-4,5.1e-05,25.0,132.0,100.0
3327,502-69-2,0.0004,25.0,0.5,100.0
3354,695-06-7,0.152,25.0,128.0,100.0
3359,3658-93-3,0.804,25.0,4.0,100.0
3362,1599-49-1,0.913,25.0,1.0,100.0
3366,142-62-1,0.158,25.0,0.5,100.0
3374,73545-18-3,0.409,25.0,4.0,100.0
3377,2305-21-7,0.873,25.0,0.5,100.0
3378,928-95-0,0.873,25.0,0.5,100.0
3379,928-94-9,0.873,25.0,0.5,100.0
3383,6126-50-7,0.929,25.0,0.5,100.0
3384,928-91-6,0.929,25.0,6.0,100.0
3395,65405-76-7,8.9e-05,25.0,24.0,100.0
3397,25152-85-6,0.002,25.0,0.5,100.0
3400,16491-36-4,0.135,25.0,216.0,100.0
3401,41519-23-7,0.182,25.0,0.5,100.0
3404,34687-46-2,0.042,25.0,36.0,100.0
3412,53398-86-0,0.016,25.0,21.0,100.0
3414,31501-11-8,0.016,25.0,8.0,100.0
3416,61444-38-0,0.0122,25.0,13.0,100.0
3417,61931-81-5,0.003,25.0,21.0,100.0
3419,53398-85-9,0.061,25.0,4.0,100.0
3420,10094-41-4,0.061,25.0,4.0,100.0
3421,67633-96-9,0.721,25.0,12.0,100.0
3424,76649-17-7,0.01,25.0,12.0,100.0
3427,68133-72-2,0.924,25.0,216.0,100.0
3430,42436-07-7,0.001,25.0,171.0,100.0
3432,33467-74-2,0.404,25.0,0.5,100.0
3433,68133-76-6,0.054,25.0,17.0,100.0
3435,65405-77-8,0.000246,25.0,216.0,100.0
3436,67883-79-8,0.0306,25.0,0.5,100.0
3440,35852-46-1,0.046,25.0,4.0,100.0
3441,35154-45-1,0.061,25.0,4.0,100.0
3442,10032-11-8,0.061,25.0,0.5,100.0
3443,17597-95-4,0.145,25.0,8.0,100.0
3447,6789-88-4,0.003,25.0,192.0,100.0
3448,2639-63-6,0.233,25.0,4.0,100.0
3449,2349-07-7,0.413,25.0,0.5,100.0
3452,101-86-0,0.001,25.0,400.0,100.0
3467,10032-15-2,0.158,25.0,12.0,100.0
3468,85508-08-3,0.026,25.0,19.0,100.0
3478,5434-57-1,0.281,25.0,4.0,100.0
3480,6259-76-3,0.000491,25.0,40.0,100.0
3481,16930-96-4,0.052,25.0,0.5,100.0
3482,19089-92-0,0.146,25.0,11.0,100.0
3485,10032-13-0,0.158,25.0,3.0,100.0
3523,20053-88-7,0.014,25.0,5.0,100.0
3532,29895-73-6,4e-05,25.0,0.5,100.0
3535,16251-77-7,0.206,25.0,400.0,100.0
3536,80858-47-5,0.004,25.0,168.0,100.0
